date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:57	1122/1122	---MCZ	404	error ('Not%20Found')	text/html	etag:1654443763-ssl-df	https://elito-next.netlify.app/robots.txt		(from )
12:18:57	56447/-1	---M--	200	added ('OK')	text/html	etag:%22c559699fd1c57a335a2993f491b58fd4-ssl%22	https://elito-next.netlify.app/	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/index.html	(from )
12:18:58	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/Users/icong/Desktop/theme/portfolio/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://elito-next.netlify.app/)
12:18:58	3720/3720	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2236966cfac63dfe4867324cf719a5bfe0-ssl%22	https://elito-next.netlify.app/favicon.ico	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/favicon.ico	(from https://elito-next.netlify.app/)
12:18:59	162058/162058	---M-Z	200	added ('OK')	text/css	etag:%2285371c16f950b3ad0f997e126a014dd7-ssl-df%22	https://elito-next.netlify.app/_next/static/css/e7387303501936b20b23.css	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/css/e7387303501936b20b23.css	(from https://elito-next.netlify.app/)
12:18:59	186788/186788	---M-Z	200	added ('OK')	text/css	etag:%22e043b02f5dea7c8278d6a2279b503b84-ssl-df%22	https://elito-next.netlify.app/_next/static/css/48b222bebdb349165b8b.css	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/css/48b222bebdb349165b8b.css	(from https://elito-next.netlify.app/)
12:19:00	3716/3716	---M-Z	200	added ('OK')	text/css	etag:%22e847d7a35a8a4d8d69b5e9801bcb542a-ssl-df%22	https://elito-next.netlify.app/_next/static/css/85aa2e918b31cf4211b0.css	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/css/85aa2e918b31cf4211b0.css	(from https://elito-next.netlify.app/)
12:19:00	18266/18266	---M-Z	200	added ('OK')	application/javascript	etag:%22dbbf5242c4e32e1af4ce3b8bd741d315-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/main-9fd3a8eba2fbf5451844.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/main-9fd3a8eba2fbf5451844.js	(from https://elito-next.netlify.app/)
12:19:01	1539/1539	---M-Z	200	added ('OK')	application/javascript	etag:%2206fc7c817ce11c681aa3eb982875941e-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	(from https://elito-next.netlify.app/)
12:19:01	131077/131077	---M-Z	200	added ('OK')	application/javascript	etag:%22bf749f6dd75e3ff7a942aed342e45442-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/framework.e517df81bfe1ace171f1.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/framework.e517df81bfe1ace171f1.js	(from https://elito-next.netlify.app/)
12:19:02	69/69	---M--	200	added ('OK')	application/javascript	etag:%22e36bc75b8cc70e9501cf4a5afb0d0871-ssl%22	https://elito-next.netlify.app/_next/static/chunks/ac3d098b.ddce25b62cf34b951439.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/ac3d098b.ddce25b62cf34b951439.js	(from https://elito-next.netlify.app/)
12:19:02	39967/39967	---M-Z	200	added ('OK')	application/javascript	etag:%224689eed6f3359b22312768c5f58f1318-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/90a5d2efdeb6cf3956e8496db769e2d021f2029b.5e68d08df27a33331e2a.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/90a5d2efdeb6cf3956e8496db769e2d021f2029b.5e68d08df27a33331e2a.js	(from https://elito-next.netlify.app/)
12:19:03	1440/1440	---M-Z	200	added ('OK')	application/javascript	etag:%22581a3729ecefa4b40d1c501247ab09a8-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/pages/_app-72695c4cab5bdd05315d.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/pages/_app-72695c4cab5bdd05315d.js	(from https://elito-next.netlify.app/)
12:19:03	98370/98370	---M-Z	200	added ('OK')	application/javascript	etag:%22f733267ea3d703fd86f0f4f5cb1d657a-ssl-df%22	https://elito-next.netlify.app/_next/static/chunks/7184a3f9.3e2d7ba8408727923e14.js	C:/Users/icong/Desktop/theme/portfolio/elito-next.netlify.app/_next/static/chunks/7184a3f9.3e2d7ba8408727923e14.js	(from https://elito-next.netlify.app/)
